features,location,price
 581 m²  361 m²  4 hab.  4 baños  4 estac. ,"Nayón - Tanda, Quito",USD 365.000
 230 m²  230 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 240.000
 429 m²  429 m²  9 hab.  2 baños  4 estac. ,"Centro de Quito, Quito",USD 328.000
 160 m²  130 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 170.000
 350 m²  300 m²  3 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 270.000
 470 m²  135 m²  3 hab.  2 baños  5 estac. ,"Calderón, Quito",USD 149.000
 190 m²  190 m²  4 hab.  4 baños  2 estac. ,"Tumbaco, Quito",USD 210.000
 229 m²  3 hab.  3 baños  3 estac. ,"Cumbayá, Quito",USD 235.000
 330 m²  220 m²  3 hab.  2 baños  2 estac. ,"Amagasí, Quito",USD 265.500
 197 m²  172 m²  3 hab.  4 baños  2 estac. ,"Ponceano, Quito",USD 123.000
 1013 m²  680 m²  4 hab.  4 baños  6 estac. ,"Miravalle, Quito",USD 1.500.000
 160 m²  160 m²  3 hab.  2 baños  2 estac. ,"Llano Chico, Quito",USD 81.999
 186 m²  186 m²  3 hab.  2 baños  2 estac. ,"Comité del Pueblo, Quito",USD 186.000
 500 m²  375 m²  3 hab.  3 baños  4 estac. ,"Cumbayá, Quito",USD 430.000
 1000 m²  267 m²  4 hab.  2 baños  5 estac. ,"Los Chillos, Quito",USD 190.000
 1800 m²  550 m²  3 hab.  3 baños  3 estac. ,"Cumbayá, Quito",USD 950.000
 250 m²  200 m²  4 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 330.000
 305 m²  305 m²  4 hab.  3 baños  4 estac. ,"El Condado, Quito",USD 150.000
 315 m²  4 hab.  2 baños  6 estac. ,"Sangolqui, Quito",USD 330.000
 149 m²  149 m²  3 hab.  2 baños ,"Los Chillos, Quito",USD 113.000
 170 m²  136 m²  3 hab.  2 baños  1 estac. ,"Mitad del Mundo, Quito",USD 78.000
 1375 m²  1375 m²  5 hab.  5 baños  4 estac. ,"Miravalle, Quito",USD 1.700.000
 125 m²  100 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 86.900
 200 m²  116 m²  3 hab.  2 baños  1 estac. ,"Los Chillos, Quito",USD 125.000
 180 m²  180 m²  3 hab.  2 baños  2 estac. ,"La Armenia, Quito",USD 129.000
 400 m²  340 m²  3 hab.  4 baños  4 estac. ,"Cumbayá, Quito",USD 390.000
 300 m²  262 m²  3 hab.  4 baños  3 estac. ,"Pomasqui, Quito",USD 250.000
 395 m²  236 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 290.000
 380 m²  380 m²  3 hab.  3 baños  3 estac. ,"Tumbaco, Quito",USD 490.000
 490 m²  400 m²  3 hab.  3 baños  4 estac. ,"Cumbayá, Quito",USD 500.000
 245 m²  120 m²  2 hab.  2 baños  2 estac. ,"Pusuqui, Quito",USD 109.900
 158 m²  158 m²  4 hab.  2 baños  1 estac. ,"Mitad del Mundo, Quito",USD 53.000
 2800 m²  342 m²  3 hab.  2 baños  9 estac. ,"Conocoto, Quito",USD 370.000
 245 m²  170 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 198.000
 890 m²  470 m²  3 hab.  3 baños  5 estac. ,"Tumbaco, Quito",USD 630.000
 188 m²  145 m²  3 hab.  2 estac. ,"Mitad del Mundo, Quito",USD 110.000
 294 m²  180 m²  3 hab.  3 baños  3 estac. ,"Los Chillos, Quito",USD 160.000
 1600 m²  800 m²  5 hab.  5 baños  4 estac. ,"Cumbayá, Quito",USD 1.300.000
 500 m²  350 m²  7 hab.  6 baños  4 estac. ,"Bellavista, Quito",USD 495.000
 352 m²  352 m²  3 hab.  4 baños  4 estac. ,"Conocoto, Quito",USD 375.000
 750 m²  447 m²  3 hab.  3 baños  4 estac. ,"Los Chillos, Quito",USD 450.000
 588 m²  310 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 385.000
 230 m²  230 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 280.000
 214 m²  186 m²  3 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 125.000
 183 m²  183 m²  3 hab.  2 estac. ,"Cumbayá, Quito",USD 283.000
 190 m²  163 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 159.000
 400 m²  4 hab.  4 baños  4 estac. ,"Tumbaco, Quito",USD 500.000
 224 m²  224 m²  3 hab.  3 baños  3 estac. ,"Tumbaco, Quito",USD 235.000
 800 m²  422 m²  3 baños  4 estac. ,"Tumbaco, Quito",USD 750.000
 200 m²  145 m²  3 hab.  2 baños  2 estac. ,"Conocoto, Quito",USD 129.000
 205 m²  205 m²  2 hab.  2 baños  3 estac. ,"Nayón - Tanda, Quito",USD 180.000
 281 m²  217 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 223.000
 332 m²  165 m²  2 hab. ,"Conocoto, Quito",USD 159.000
 340 m²  340 m²  4 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 250.000
 230 m²  185 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 185.000
 250 m²  150 m²  3 hab.  2 baños  2 estac. ,"Puembo, Quito",USD 140.000
 259 m²  213 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 279.000
 119 m²  95 m²  3 hab.  2 baños  1 estac. ,"Los Chillos, Quito",USD 82.000
 95 m²  95 m²  3 hab.  1 baño  1 estac. ,"Calderón, Quito",USD 68.000
 124 m²  124 m²  3 hab.  1 baño  1 estac. ,"Sur de Quito, Quito",USD 46.000
